"year","n_events","max_mag","mean_mag","median_mag"
2000,5046,4.51,1.39540229885057,1.39
2001,10121,5.17,1.505233672562,1.5
2002,3797,4.77,1.28507505925731,1.23
2003,3484,4.54,1.36818886337543,1.33
2004,5127,5.03,1.04118197776477,1
2005,3667,4.38,1.03977638396509,1
2006,3491,4.11,1.0262274419937,0.97
2007,2560,4.34,1.1617421875,1.12
2008,3326,5.06,1.2326879134095,1.16
2009,4274,5.19,1.27697473093121,1.21
2010,3841,4.41,1.05118979432439,0.98
2011,2844,4.45,1.00894514767932,0.95
2012,4375,3.69,0.922274285714285,0.86
2013,4122,4.3,0.944798641436196,0.9
2014,3455,4.39,1.05894645441389,1.03
2015,3411,4.25,0.938833186748754,0.91
2016,2583,4.31,1.13989159891599,1.07
2017,2328,4.12,1.03951890034364,0.99
2018,2059,4.2,1.10296260320544,1.05
2019,50276,7.1,1.3079930782083,1.2
2020,18810,5.8,0.95189845826688,0.89
2021,8239,4.03,0.965601407937856,0.9
2022,5179,4.58,1.05771191349681,1
2023,2508,3.62,1.2546331738437,1.16
2024,3479,4.87,1.09200344926703,1.04
2025,3811,3.98,1.12304906848596,1.05
2026,1371,4.11,1.10430342815463,1.01
