"year","n_events","max_mag","mean_mag","median_mag"
2000,1129,4.51,2.03205491585474,1.91
2001,3291,5.17,2.06262230325129,1.94
2002,770,4.77,2.0751038961039,1.94
2003,786,4.54,2.06790076335878,1.96
2004,607,5.03,2.02772652388797,1.9
2005,429,4.38,2.08948717948718,1.94
2006,344,4.11,2.16142441860465,2.04
2007,346,4.34,2.14387283236994,2.025
2008,551,5.06,2.2037386569873,2.05
2009,838,5.19,2.19139618138425,1.99
2010,517,4.41,2.22617021276596,2.06
2011,344,4.45,2.1431976744186,1.97
2012,441,3.69,2.12766439909297,1.98
2013,479,4.3,2.13279749478079,1.97
2014,436,4.39,2.2026376146789,2.04
2015,357,4.25,2.13053221288515,1.96
2016,437,4.31,2.1829290617849,2.05
2017,273,4.12,2.16831501831502,2
2018,275,4.2,2.14389090909091,2.01
2019,11553,7.1,2.25396087596295,2.09
2020,1897,5.8,2.14678439641539,2.01
2021,776,4.03,2.13038659793814,1.99
2022,591,4.58,2.11389170896785,1.96
2023,428,3.62,2.16336448598131,2.03
2024,423,4.87,2.1380378250591,2.01
2025,498,3.98,2.11132530120482,1.98
2026,174,4.11,2.18511494252874,2.01
