"year","n_events","max_mag","mean_mag","median_mag"
2000,437,4.51,2.37421052631579,2.23
2001,1428,5.17,2.37386554621849,2.26
2002,339,4.77,2.40516224188791,2.3
2003,351,4.54,2.37957264957265,2.27
2004,241,5.03,2.35829875518672,2.22
2005,194,4.38,2.42211340206186,2.265
2006,189,4.11,2.4373544973545,2.31
2007,185,4.34,2.42297297297297,2.33
2008,302,5.06,2.51245033112583,2.33
2009,418,5.19,2.54813397129187,2.39
2010,294,4.41,2.52925170068027,2.41
2011,165,4.45,2.49121212121212,2.34
2012,215,3.69,2.4533023255814,2.36
2013,225,4.3,2.48666666666667,2.35
2014,241,4.39,2.5003734439834,2.35
2015,169,4.25,2.47260355029586,2.38
2016,250,4.31,2.44708,2.37
2017,141,4.12,2.4754609929078,2.32
2018,146,4.2,2.42109589041096,2.24
2019,6865,7.1,2.54051565914057,2.38
2020,984,5.8,2.44099593495935,2.29
2021,384,4.03,2.43533854166667,2.29
2022,266,4.58,2.44875939849624,2.31
2023,230,3.62,2.45173913043478,2.34
2024,218,4.87,2.43522935779816,2.285
2025,241,3.98,2.40701244813278,2.34
2026,89,4.11,2.53988764044944,2.38
