"month","total_events","background_events","background_rate","method"
2000-05-01,114,8,8,"Gardner-Knopoff window-based"
2000-06-01,171,16,16,"Gardner-Knopoff window-based"
2000-07-01,191,27,27,"Gardner-Knopoff window-based"
2000-08-01,137,22,22,"Gardner-Knopoff window-based"
2000-09-01,153,18,18,"Gardner-Knopoff window-based"
2000-10-01,148,32,32,"Gardner-Knopoff window-based"
2000-11-01,107,35,35,"Gardner-Knopoff window-based"
2000-12-01,108,45,45,"Gardner-Knopoff window-based"
2001-01-01,91,39,39,"Gardner-Knopoff window-based"
2001-02-01,101,32,32,"Gardner-Knopoff window-based"
2001-03-01,208,40,40,"Gardner-Knopoff window-based"
2001-04-01,437,39,39,"Gardner-Knopoff window-based"
2001-05-01,387,40,40,"Gardner-Knopoff window-based"
2001-06-01,204,41,41,"Gardner-Knopoff window-based"
2001-07-01,1116,28,28,"Gardner-Knopoff window-based"
2001-08-01,308,26,26,"Gardner-Knopoff window-based"
2001-09-01,169,37,37,"Gardner-Knopoff window-based"
2001-10-01,122,29,29,"Gardner-Knopoff window-based"
2001-11-01,78,28,28,"Gardner-Knopoff window-based"
2001-12-01,70,23,23,"Gardner-Knopoff window-based"
2002-01-01,67,28,28,"Gardner-Knopoff window-based"
2002-02-01,54,26,26,"Gardner-Knopoff window-based"
2002-03-01,44,17,17,"Gardner-Knopoff window-based"
2002-04-01,41,20,20,"Gardner-Knopoff window-based"
2002-05-01,56,17,17,"Gardner-Knopoff window-based"
2002-06-01,50,26,26,"Gardner-Knopoff window-based"
2002-07-01,90,37,37,"Gardner-Knopoff window-based"
2002-08-01,41,23,23,"Gardner-Knopoff window-based"
2002-09-01,64,20,20,"Gardner-Knopoff window-based"
2002-10-01,79,22,22,"Gardner-Knopoff window-based"
2002-11-01,91,24,24,"Gardner-Knopoff window-based"
2002-12-01,93,22,22,"Gardner-Knopoff window-based"
2003-01-01,245,19,19,"Gardner-Knopoff window-based"
2003-02-01,102,17,17,"Gardner-Knopoff window-based"
2003-03-01,68,25,25,"Gardner-Knopoff window-based"
2003-04-01,39,26,26,"Gardner-Knopoff window-based"
2003-05-01,51,25,25,"Gardner-Knopoff window-based"
2003-06-01,43,25,25,"Gardner-Knopoff window-based"
2003-07-01,36,21,21,"Gardner-Knopoff window-based"
2003-08-01,40,27,27,"Gardner-Knopoff window-based"
2003-09-01,37,21,21,"Gardner-Knopoff window-based"
2003-10-01,52,25,25,"Gardner-Knopoff window-based"
2003-11-01,26,16,16,"Gardner-Knopoff window-based"
2003-12-01,47,22,22,"Gardner-Knopoff window-based"
2004-01-01,35,22,22,"Gardner-Knopoff window-based"
2004-02-01,51,28,28,"Gardner-Knopoff window-based"
2004-03-01,76,23,23,"Gardner-Knopoff window-based"
2004-04-01,56,24,24,"Gardner-Knopoff window-based"
2004-05-01,38,29,29,"Gardner-Knopoff window-based"
2004-06-01,48,22,22,"Gardner-Knopoff window-based"
2004-07-01,34,13,13,"Gardner-Knopoff window-based"
2004-08-01,51,21,21,"Gardner-Knopoff window-based"
2004-09-01,51,18,18,"Gardner-Knopoff window-based"
2004-10-01,77,21,21,"Gardner-Knopoff window-based"
2004-11-01,55,15,15,"Gardner-Knopoff window-based"
2004-12-01,35,21,21,"Gardner-Knopoff window-based"
2005-01-01,41,19,19,"Gardner-Knopoff window-based"
2005-02-01,23,12,12,"Gardner-Knopoff window-based"
2005-03-01,25,15,15,"Gardner-Knopoff window-based"
2005-04-01,38,22,22,"Gardner-Knopoff window-based"
2005-05-01,46,27,27,"Gardner-Knopoff window-based"
2005-06-01,39,23,23,"Gardner-Knopoff window-based"
2005-07-01,85,23,23,"Gardner-Knopoff window-based"
2005-08-01,40,11,11,"Gardner-Knopoff window-based"
2005-09-01,31,13,13,"Gardner-Knopoff window-based"
2005-10-01,24,14,14,"Gardner-Knopoff window-based"
2005-11-01,16,12,12,"Gardner-Knopoff window-based"
2005-12-01,21,14,14,"Gardner-Knopoff window-based"
2006-01-01,31,16,16,"Gardner-Knopoff window-based"
2006-02-01,32,18,18,"Gardner-Knopoff window-based"
2006-03-01,25,14,14,"Gardner-Knopoff window-based"
2006-04-01,22,15,15,"Gardner-Knopoff window-based"
2006-05-01,26,17,17,"Gardner-Knopoff window-based"
2006-06-01,25,14,14,"Gardner-Knopoff window-based"
2006-07-01,38,18,18,"Gardner-Knopoff window-based"
2006-08-01,39,12,12,"Gardner-Knopoff window-based"
2006-09-01,19,12,12,"Gardner-Knopoff window-based"
2006-10-01,14,12,12,"Gardner-Knopoff window-based"
2006-11-01,44,17,17,"Gardner-Knopoff window-based"
2006-12-01,29,15,15,"Gardner-Knopoff window-based"
2007-01-01,36,21,21,"Gardner-Knopoff window-based"
2007-02-01,18,14,14,"Gardner-Knopoff window-based"
2007-03-01,30,17,17,"Gardner-Knopoff window-based"
2007-04-01,26,13,13,"Gardner-Knopoff window-based"
2007-05-01,31,16,16,"Gardner-Knopoff window-based"
2007-06-01,32,20,20,"Gardner-Knopoff window-based"
2007-07-01,25,17,17,"Gardner-Knopoff window-based"
2007-08-01,38,22,22,"Gardner-Knopoff window-based"
2007-09-01,30,12,12,"Gardner-Knopoff window-based"
2007-10-01,31,18,18,"Gardner-Knopoff window-based"
2007-11-01,29,13,13,"Gardner-Knopoff window-based"
2007-12-01,20,11,11,"Gardner-Knopoff window-based"
2008-01-01,27,16,16,"Gardner-Knopoff window-based"
2008-02-01,36,15,15,"Gardner-Knopoff window-based"
2008-03-01,26,16,16,"Gardner-Knopoff window-based"
2008-04-01,39,13,13,"Gardner-Knopoff window-based"
2008-05-01,51,14,14,"Gardner-Knopoff window-based"
2008-06-01,27,19,19,"Gardner-Knopoff window-based"
2008-07-01,30,14,14,"Gardner-Knopoff window-based"
2008-08-01,31,14,14,"Gardner-Knopoff window-based"
2008-09-01,30,18,18,"Gardner-Knopoff window-based"
2008-10-01,28,16,16,"Gardner-Knopoff window-based"
2008-11-01,55,16,16,"Gardner-Knopoff window-based"
2008-12-01,171,16,16,"Gardner-Knopoff window-based"
2009-01-01,50,14,14,"Gardner-Knopoff window-based"
2009-02-01,49,13,13,"Gardner-Knopoff window-based"
2009-03-01,49,16,16,"Gardner-Knopoff window-based"
2009-04-01,26,14,14,"Gardner-Knopoff window-based"
2009-05-01,56,20,20,"Gardner-Knopoff window-based"
2009-06-01,52,17,17,"Gardner-Knopoff window-based"
2009-07-01,30,18,18,"Gardner-Knopoff window-based"
2009-08-01,51,14,14,"Gardner-Knopoff window-based"
2009-09-01,41,12,12,"Gardner-Knopoff window-based"
2009-10-01,318,21,21,"Gardner-Knopoff window-based"
2009-11-01,68,17,17,"Gardner-Knopoff window-based"
2009-12-01,48,17,17,"Gardner-Knopoff window-based"
2010-01-01,86,7,7,"Gardner-Knopoff window-based"
