"month","n_events","max_mag","mean_mag"
2000-05-01,370,4.05,1.46435135135135
2000-06-01,705,4.51,1.43140425531915
2000-07-01,782,3.73,1.4243094629156
2000-08-01,712,3.41,1.3784691011236
2000-09-01,928,3.69,1.28440732758621
2000-10-01,657,3.86,1.40701674277017
2000-11-01,444,2.99,1.42067567567568
2000-12-01,448,3.36,1.44609375
2001-01-01,343,3.4,1.49274052478134
2001-02-01,433,3.8,1.41043879907621
2001-03-01,537,3.45,1.63327746741155
2001-04-01,685,3.77,1.88042335766423
2001-05-01,647,4.25,1.81935085007728
2001-06-01,376,3.12,1.76949468085106
2001-07-01,3882,5.17,1.43679031427099
2001-08-01,1471,3.62,1.37544527532291
2001-09-01,613,3.07,1.46743882544861
2001-10-01,513,3.47,1.42512670565302
2001-11-01,334,3.23,1.42760479041916
2001-12-01,287,3.05,1.3790243902439
2002-01-01,220,3.3,1.4305
2002-02-01,302,3.23,1.24735099337748
2002-03-01,301,3.43,1.18229235880399
2002-04-01,224,4.39,1.25723214285714
2002-05-01,343,3.84,1.27769679300292
2002-06-01,372,2.83,1.15005376344086
2002-07-01,429,3.73,1.2832634032634
2002-08-01,300,2.62,1.1904
2002-09-01,337,4.13,1.29178041543027
2002-10-01,294,4.77,1.37948979591837
2002-11-01,373,3.08,1.37230563002681
2002-12-01,302,3.15,1.40413907284768
2003-01-01,677,4.54,1.5970753323486
2003-02-01,376,3.17,1.4638829787234
2003-03-01,295,3.04,1.38461016949153
2003-04-01,189,2.86,1.33994708994709
2003-05-01,248,3.63,1.40701612903226
2003-06-01,236,2.83,1.29614406779661
2003-07-01,245,4.15,1.24587755102041
2003-08-01,227,3.65,1.29101321585903
2003-09-01,220,2.91,1.29
2003-10-01,225,2.99,1.32506666666667
2003-11-01,86,3.28,1.40209302325581
2003-12-01,460,3.73,1.12558695652174
2004-01-01,362,3.2,1.03975138121547
2004-02-01,335,2.88,1.13211940298507
2004-03-01,466,3.82,1.13830472103004
2004-04-01,424,3.17,1.09516509433962
2004-05-01,493,2.46,0.905334685598377
2004-06-01,541,3.71,0.959667282809612
2004-07-01,514,2.89,0.929494163424124
2004-08-01,461,3.17,0.958481561822126
2004-09-01,476,5.03,1.08478991596639
2004-10-01,467,3.28,1.12224839400428
2004-11-01,293,3.68,1.22051194539249
2004-12-01,295,3.12,1.03220338983051
2005-01-01,289,2.84,1.10089965397924
2005-02-01,281,3.44,1.03306049822064
2005-03-01,158,3.24,1.22873417721519
2005-04-01,318,2.74,1.12779874213836
2005-05-01,329,3.18,1.08376899696049
2005-06-01,269,3.33,1.1624907063197
2005-07-01,409,3.77,1.2160880195599
2005-08-01,456,4.38,0.962938596491228
2005-09-01,379,3.64,0.875382585751979
2005-10-01,292,3.58,0.926267123287671
2005-11-01,236,3.16,0.91656779661017
2005-12-01,251,3.79,0.905697211155378
2006-01-01,297,2.97,0.926363636363636
2006-02-01,364,2.86,0.956071428571429
2006-03-01,363,4.11,0.970027548209366
2006-04-01,217,2.79,0.995115207373272
2006-05-01,228,2.69,1.02083333333333
2006-06-01,258,2.93,1.08837209302326
2006-07-01,354,4.02,1.05305084745763
2006-08-01,427,3.33,0.996744730679157
2006-09-01,279,3.08,0.961971326164875
2006-10-01,178,3.2,1.01089887640449
2006-11-01,279,3.88,1.22931899641577
2006-12-01,247,3.32,1.16643724696356
2007-01-01,202,3,1.23094059405941
2007-02-01,197,2.93,1.09675126903553
2007-03-01,213,4.11,1.21154929577465
2007-04-01,198,3.05,1.09353535353535
2007-05-01,180,3.11,1.17827777777778
2007-06-01,211,2.84,1.14625592417062
2007-07-01,242,3.47,1.10847107438017
2007-08-01,272,3.49,1.16882352941176
2007-09-01,184,3.27,1.21282608695652
2007-10-01,249,4.34,1.1104016064257
2007-11-01,201,3.06,1.22601990049751
2007-12-01,211,2.77,1.17805687203791
2008-01-01,233,3.9,1.2674678111588
2008-02-01,198,3.58,1.22237373737374
2008-03-01,138,3.47,1.29101449275362
2008-04-01,243,4.14,1.16971193415638
2008-05-01,301,4.43,1.248073089701
2008-06-01,219,3.02,1.08319634703196
2008-07-01,252,3.4,1.08388888888889
2008-08-01,280,3,1.09914285714286
2008-09-01,239,3.06,1.16456066945607
2008-10-01,203,3.23,1.19334975369458
2008-11-01,276,4.04,1.31811594202899
2008-12-01,744,5.06,1.37365591397849
2009-01-01,307,4.39,1.29387622149837
2009-02-01,289,3.68,1.2560553633218
2009-03-01,287,3.21,1.23588850174216
2009-04-01,280,2.83,1.03228571428571
2009-05-01,362,4.73,1.21682320441989
2009-06-01,302,3.35,1.24976821192053
2009-07-01,206,3.77,1.23757281553398
2009-08-01,295,3.89,1.17549152542373
