"month","n_events","max_mag","mean_mag"
2000-05-01,114,4.05,2.05868421052632
2000-06-01,171,4.51,2.00280701754386
2000-07-01,191,3.73,2.04513089005236
2000-08-01,137,3.41,2.04277372262774
2000-09-01,153,3.69,1.99509803921569
2000-10-01,148,3.86,2.07756756756757
2000-11-01,107,2.99,2.01252336448598
2000-12-01,108,3.36,2.02287037037037
2001-01-01,91,3.4,1.98252747252747
2001-02-01,101,3.8,2.05425742574257
2001-03-01,208,3.45,2.08110576923077
2001-04-01,437,3.77,2.11093821510297
2001-05-01,387,4.25,2.06273901808786
2001-06-01,204,3.12,2.04823529411765
2001-07-01,1116,5.17,2.0958064516129
2001-08-01,308,3.62,1.985
2001-09-01,169,3.07,1.96355029585799
2001-10-01,122,3.47,2.01540983606557
2001-11-01,78,3.23,2.07461538461538
2001-12-01,70,3.05,1.98414285714286
2002-01-01,67,3.3,2.02298507462687
2002-02-01,54,3.23,2.07037037037037
2002-03-01,44,3.43,2.16636363636364
2002-04-01,41,4.39,2.07756097560976
2002-05-01,56,3.84,2.20785714285714
2002-06-01,50,2.83,1.9526
2002-07-01,90,3.73,2.042
2002-08-01,41,2.62,2.02658536585366
2002-09-01,64,4.13,2.15984375
2002-10-01,79,4.77,2.07303797468354
2002-11-01,91,3.08,2.08296703296703
2002-12-01,93,3.15,2.04623655913979
2003-01-01,245,4.54,2.16510204081633
2003-02-01,102,3.17,2.05235294117647
2003-03-01,68,3.04,1.98955882352941
2003-04-01,39,2.86,2.00076923076923
2003-05-01,51,3.63,2.14882352941176
2003-06-01,43,2.83,1.96302325581395
2003-07-01,36,4.15,2.02916666666667
2003-08-01,40,3.65,2.03625
2003-09-01,37,2.91,1.95378378378378
2003-10-01,52,2.99,1.955
2003-11-01,26,3.28,2.01961538461538
2003-12-01,47,3.73,2.07021276595745
2004-01-01,35,3.2,2.05885714285714
2004-02-01,51,2.88,2.0256862745098
2004-03-01,76,3.82,2.00934210526316
2004-04-01,56,3.17,2.03035714285714
2004-05-01,38,2.46,1.93842105263158
2004-06-01,48,3.71,2.03958333333333
2004-07-01,34,2.89,1.96676470588235
2004-08-01,51,3.17,2.01823529411765
2004-09-01,51,5.03,2.12882352941176
2004-10-01,77,3.28,2.01142857142857
2004-11-01,55,3.68,2.08909090909091
2004-12-01,35,3.12,1.98114285714286
2005-01-01,41,2.84,1.98073170731707
2005-02-01,23,3.44,2.11739130434783
2005-03-01,25,3.24,2.0972
2005-04-01,38,2.74,2.05710526315789
2005-05-01,46,3.18,2.00521739130435
2005-06-01,39,3.33,2.06461538461538
2005-07-01,85,3.77,2.09388235294118
2005-08-01,40,4.38,2.1765
2005-09-01,31,3.64,2.16741935483871
2005-10-01,24,3.58,2.08458333333333
2005-11-01,16,3.16,2.21
2005-12-01,21,3.79,2.16666666666667
2006-01-01,31,2.97,2.07645161290323
2006-02-01,32,2.86,2.1309375
2006-03-01,25,4.11,2.4452
2006-04-01,22,2.79,2.04590909090909
2006-05-01,26,2.69,2.11038461538462
2006-06-01,25,2.93,2.1196
2006-07-01,38,4.02,2.20052631578947
2006-08-01,39,3.33,2.12871794871795
2006-09-01,19,3.08,2.14105263157895
2006-10-01,14,3.2,2.09857142857143
2006-11-01,44,3.88,2.25295454545455
2006-12-01,29,3.32,2.10827586206897
2007-01-01,36,3,2.03027777777778
2007-02-01,18,2.93,2.135
2007-03-01,30,4.11,2.38033333333333
2007-04-01,26,3.05,2.14307692307692
2007-05-01,31,3.11,2.14516129032258
2007-06-01,32,2.84,2.121875
2007-07-01,25,3.47,2.108
2007-08-01,38,3.49,2.195
2007-09-01,30,3.27,2.11666666666667
2007-10-01,31,4.34,2.21548387096774
2007-11-01,29,3.06,2.09413793103448
2007-12-01,20,2.77,1.9855
2008-01-01,27,3.9,2.15444444444444
2008-02-01,36,3.58,2.11361111111111
2008-03-01,26,3.47,2.21538461538462
2008-04-01,39,4.14,2.19820512820513
2008-05-01,51,4.43,2.32941176470588
2008-06-01,27,3.02,2.03444444444444
2008-07-01,30,3.4,2.32933333333333
2008-08-01,31,3,2.00548387096774
2008-09-01,30,3.06,2.11566666666667
2008-10-01,28,3.23,2.13785714285714
2008-11-01,55,4.04,2.32509090909091
2008-12-01,171,5.06,2.22035087719298
2009-01-01,50,4.39,2.1638
2009-02-01,49,3.68,2.17387755102041
2009-03-01,49,3.21,2.09183673469388
2009-04-01,26,2.83,1.97269230769231
2009-05-01,56,4.73,2.29464285714286
2009-06-01,52,3.35,2.16769230769231
2009-07-01,30,3.77,2.11733333333333
2009-08-01,51,3.89,2.22039215686274
2009-09-01,41,3.37,2.17414634146341
