"month","n_events","max_mag","mean_mag"
2000-05-01,43,4.05,2.43488372093023
2000-06-01,58,4.51,2.39810344827586
2000-07-01,73,3.73,2.39369863013699
2000-08-01,49,3.41,2.46530612244898
2000-09-01,50,3.69,2.381
2000-10-01,72,3.86,2.33833333333333
2000-11-01,45,2.99,2.27555555555556
2000-12-01,47,3.36,2.30617021276596
2001-01-01,34,3.4,2.29735294117647
2001-02-01,45,3.8,2.34888888888889
2001-03-01,98,3.45,2.35836734693878
2001-04-01,215,3.77,2.38846511627907
2001-05-01,184,4.25,2.32733695652174
2001-06-01,98,3.12,2.28867346938776
2001-07-01,499,5.17,2.43677354709419
2001-08-01,93,3.62,2.37870967741936
2001-09-01,58,3.07,2.23137931034483
2001-10-01,47,3.47,2.32914893617021
2001-11-01,36,3.23,2.34444444444444
2001-12-01,21,3.05,2.30714285714286
2002-01-01,28,3.3,2.33678571428571
2002-02-01,23,3.23,2.45217391304348
2002-03-01,18,3.43,2.67
2002-04-01,21,4.39,2.33
2002-05-01,33,3.84,2.47212121212121
2002-06-01,13,2.83,2.35230769230769
2002-07-01,36,3.73,2.36833333333333
2002-08-01,18,2.62,2.285
2002-09-01,28,4.13,2.60607142857143
2002-10-01,34,4.77,2.42117647058824
2002-11-01,41,3.08,2.40048780487805
2002-12-01,46,3.15,2.26673913043478
2003-01-01,134,4.54,2.43850746268657
2003-02-01,52,3.17,2.26788461538462
2003-03-01,27,3.04,2.25777777777778
2003-04-01,15,2.86,2.35733333333333
2003-05-01,26,3.63,2.51461538461538
2003-06-01,15,2.83,2.22866666666667
2003-07-01,12,4.15,2.45666666666667
2003-08-01,16,3.65,2.389375
2003-09-01,11,2.91,2.27545454545455
2003-10-01,15,2.99,2.288
2003-11-01,12,3.28,2.28
2003-12-01,16,3.73,2.561875
2004-01-01,14,3.2,2.47428571428571
2004-02-01,22,2.88,2.27272727272727
2004-03-01,30,3.82,2.345
2004-04-01,23,3.17,2.35565217391304
2004-05-01,12,2.46,2.20666666666667
2004-06-01,17,3.71,2.44882352941176
2004-07-01,9,2.89,2.38333333333333
2004-08-01,17,3.17,2.39411764705882
2004-09-01,24,5.03,2.49375
2004-10-01,30,3.28,2.31266666666667
2004-11-01,30,3.68,2.33733333333333
2004-12-01,13,3.12,2.27461538461538
2005-01-01,14,2.84,2.28214285714286
2005-02-01,11,3.44,2.45272727272727
2005-03-01,12,3.24,2.39333333333333
2005-04-01,17,2.74,2.32705882352941
2005-05-01,19,3.18,2.30947368421053
2005-06-01,19,3.33,2.31947368421053
2005-07-01,35,3.77,2.48828571428571
2005-08-01,19,4.38,2.56105263157895
2005-09-01,17,3.64,2.48470588235294
2005-10-01,9,3.58,2.57888888888889
2005-11-01,10,3.16,2.438
2005-12-01,12,3.79,2.42916666666667
2006-01-01,15,2.97,2.33866666666667
2006-02-01,16,2.86,2.40875
2006-03-01,18,4.11,2.66388888888889
2006-04-01,9,2.79,2.33222222222222
2006-05-01,15,2.69,2.33533333333333
2006-06-01,14,2.93,2.33
2006-07-01,22,4.02,2.50045454545455
2006-08-01,21,3.33,2.3952380952381
2006-09-01,11,3.08,2.39454545454545
2006-10-01,7,3.2,2.42857142857143
2006-11-01,29,3.88,2.47206896551724
2006-12-01,12,3.32,2.50916666666667
2007-01-01,14,3,2.38285714285714
2007-02-01,11,2.93,2.32545454545455
2007-03-01,23,4.11,2.55478260869565
2007-04-01,13,3.05,2.43076923076923
2007-05-01,19,3.11,2.36
2007-06-01,18,2.84,2.32666666666667
2007-07-01,12,3.47,2.39083333333333
2007-08-01,23,3.49,2.45695652173913
2007-09-01,15,3.27,2.39466666666667
2007-10-01,17,4.34,2.54
2007-11-01,15,3.06,2.37333333333333
2007-12-01,5,2.77,2.466
2008-01-01,15,3.9,2.39133333333333
2008-02-01,17,3.58,2.41176470588235
2008-03-01,17,3.47,2.42411764705882
2008-04-01,19,4.14,2.60631578947368
2008-05-01,32,4.43,2.644375
2008-06-01,12,3.02,2.2975
2008-07-01,21,3.4,2.55952380952381
2008-08-01,10,3,2.368
2008-09-01,15,3.06,2.39666666666667
2008-10-01,12,3.23,2.56416666666667
2008-11-01,39,4.04,2.53589743589744
2008-12-01,93,5.06,2.53677419354839
2009-01-01,22,4.39,2.54772727272727
2009-02-01,26,3.68,2.46807692307692
2009-03-01,24,3.21,2.34458333333333
2009-04-01,9,2.83,2.32333333333333
2009-05-01,31,4.73,2.68032258064516
2009-06-01,27,3.35,2.45222222222222
2009-07-01,17,3.77,2.33058823529412
2009-08-01,28,3.89,2.55642857142857
2009-09-01,22,3.37,2.5
2009-10-01,161,5.19,2.62993788819876
2009-11-01,32,4.6,2.5609375
2009-12-01,19,3.64,2.46578947368421
2010-01-01,53,4.41,2.57358490566038
2010-02-01,39,4.05,2.60076923076923
2010-03-01,37,3.76,2.59918918918919
2010-04-01,25,2.79,2.2964
2010-05-01,18,3.85,2.69444444444444
2010-06-01,18,3.78,2.56611111111111
2010-07-01,19,3.74,2.36736842105263
2010-08-01,5,2.83,2.334
2010-09-01,30,3.88,2.44633333333333
2010-10-01,25,3.73,2.558
2010-11-01,17,3.74,2.46705882352941
2010-12-01,8,3.6,2.69625
2011-01-01,9,3.17,2.32333333333333
2011-02-01,13,3.48,2.47923076923077
2011-03-01,13,3.35,2.47538461538462
2011-04-01,19,3.24,2.43210526315789
2011-05-01,20,4.45,2.7155
2011-06-01,5,3.27,2.532
2011-07-01,18,3.36,2.31388888888889
2011-08-01,13,3.22,2.43076923076923
2011-09-01,16,3.79,2.5775
2011-10-01,19,3.78,2.57157894736842
2011-11-01,10,4.1,2.612
2011-12-01,10,2.55,2.308
2012-01-01,18,3.25,2.39833333333333
2012-02-01,16,2.98,2.41875
2012-03-01,9,2.85,2.41888888888889
2012-04-01,6,2.22,2.13666666666667
2012-05-01,14,3.61,2.57071428571429
2012-06-01,10,3.07,2.385
2012-07-01,8,2.81,2.4525
2012-08-01,33,3.54,2.59818181818182
2012-09-01,29,2.88,2.36896551724138
2012-10-01,23,3.47,2.42130434782609
2012-11-01,20,3.69,2.49
2012-12-01,29,3.64,2.46931034482759
2013-01-01,11,3.59,2.35545454545455
2013-02-01,13,3.01,2.42461538461538
2013-03-01,16,4.14,2.35
2013-04-01,23,3.22,2.45565217391304
2013-05-01,13,3.3,2.40384615384615
2013-06-01,17,3.17,2.38470588235294
2013-07-01,10,4.29,2.718
2013-08-01,29,4.19,2.65551724137931
2013-09-01,16,3.16,2.36125
2013-10-01,26,4.28,2.54538461538462
2013-11-01,19,3.19,2.34947368421053
2013-12-01,32,4.3,2.6065625
2014-01-01,13,3.39,2.50846153846154
2014-02-01,13,3.68,2.40615384615385
2014-03-01,59,4.39,2.46627118644068
2014-04-01,21,4.24,2.4747619047619
2014-05-01,13,3.51,2.49307692307692
2014-06-01,21,3.78,2.5947619047619
2014-07-01,23,3.63,2.64086956521739
2014-08-01,13,3.17,2.51923076923077
2014-09-01,19,3.64,2.48473684210526
2014-10-01,15,3.68,2.642
2014-11-01,14,2.93,2.25857142857143
2014-12-01,17,3.47,2.49235294117647
2015-01-01,17,4.25,2.65588235294118
2015-02-01,10,2.69,2.368
2015-03-01,20,4.04,2.4845
2015-04-01,23,2.62,2.27869565217391
2015-05-01,18,2.67,2.36166666666667
2015-06-01,26,3.63,2.59961538461538
2015-07-01,6,2.94,2.60333333333333
2015-08-01,5,2.65,2.388
2015-09-01,6,2.8,2.405
2015-10-01,9,2.74,2.28444444444444
2015-11-01,16,2.89,2.435625
2015-12-01,13,4.25,2.71692307692308
2016-01-01,51,4.11,2.51862745098039
2016-02-01,33,4.31,2.58333333333333
2016-03-01,30,3.11,2.415
2016-04-01,15,3.21,2.41466666666667
2016-05-01,11,3.49,2.36090909090909
2016-06-01,28,3.31,2.3225
2016-07-01,18,3,2.35888888888889
2016-08-01,17,3.53,2.45529411764706
2016-09-01,11,3.47,2.54727272727273
2016-10-01,9,2.83,2.40222222222222
2016-11-01,21,2.87,2.38619047619048
2016-12-01,6,2.87,2.40833333333333
2017-01-01,9,2.81,2.47111111111111
2017-02-01,6,3.39,2.43333333333333
2017-03-01,14,3.56,2.425
2017-04-01,8,3.13,2.345
2017-05-01,12,3.71,2.57
2017-06-01,11,3.64,2.67363636363636
2017-07-01,16,3.47,2.510625
2017-08-01,14,4.12,2.52785714285714
2017-09-01,12,3.65,2.52666666666667
2017-10-01,13,2.48,2.12923076923077
2017-11-01,11,3.11,2.52545454545455
2017-12-01,15,3.05,2.52666666666667
2018-01-01,10,3.71,2.621
2018-02-01,15,3.31,2.34466666666667
2018-03-01,15,3.06,2.48066666666667
2018-04-01,15,3.69,2.40933333333333
2018-05-01,12,2.5,2.155
2018-06-01,16,3.32,2.395625
2018-07-01,13,3.55,2.37769230769231
2018-08-01,7,2.5,2.20285714285714
2018-09-01,4,3.18,2.5025
2018-10-01,15,3.23,2.412
2018-11-01,14,3.48,2.44071428571429
2018-12-01,10,4.2,2.787
2019-01-01,12,3.17,2.40666666666667
2019-02-01,36,3.97,2.50444444444444
2019-03-01,20,3.2,2.326
2019-04-01,22,3.3,2.31181818181818
2019-05-01,31,3.32,2.42064516129032
2019-06-01,21,3.46,2.36333333333333
2019-07-01,5622,7.1,2.56999644254714
2019-08-01,503,4.89,2.4144930417495
2019-09-01,196,3.59,2.37035714285714
2019-10-01,136,3.76,2.37941176470588
2019-11-01,131,3.92,2.42679389312977
