"datetime","mag","lat","lon","depth","quality","evid","nph","ngrm"
2019-07-06 03:19:53.04,7.1,35.7695,-117.59933,8,"C",38457511,95,3397
2019-07-04 17:33:49,6.4,35.70533,-117.50383,10.5,"A",38443183,105,3416
2020-06-24 17:40:49.24,5.8,36.44683,-117.97517,4.7,"A",39493944,91,3308
2020-06-04 01:32:11.14,5.51,35.61483,-117.42817,8.4,"A",39462536,230,3295
2019-07-06 03:47:53.42,5.5,35.90117,-117.7495,5,"A",38457687,82,2448
2019-07-06 04:18:55.79,5.44,35.91017,-117.68483,7.4,"A",38457847,110,2427
2019-07-05 11:07:53.04,5.37,35.76033,-117.575,7,"A",38450263,256,3346
2009-10-03 01:16:00.31,5.19,36.391,-117.86083,-1.8,"A",14519780,73,2060
2001-07-17 12:07:26.1,5.17,36.01633,-117.87433,1.9,"A",9674049,106,1491
2008-12-06 04:18:42.85,5.06,34.81333,-116.41883,6.4,"A",14408052,298,2010
